date,symbol,price,volatility,volume,timestamp
2025-07-25 09:29:47,AAPL,213.76,2.1599999999999966,45773373,2025-07-25T09:29:43.144104
2025-07-25 09:29:47,NVDA,173.74,2.530000000000001,127727175,2025-07-25T09:29:43.700875
2025-07-25 09:29:47,MSFT,510.88,5.920000000000016,16041656,2025-07-25T09:29:44.201234
2025-07-25 09:29:47,AMZN,232.23,5.430000000000007,42573487,2025-07-25T09:29:44.704498
2025-07-25 09:29:47,META,714.8,9.623900000000049,10868089,2025-07-25T09:29:45.200690
2025-07-25 09:29:47,GOOGL,192.17,6.949999999999989,74506564,2025-07-25T09:29:45.697678
2025-07-25 09:29:47,TSLA,305.3,9.654999999999973,156024571,2025-07-25T09:29:46.312607
2025-07-25 09:29:47,BTC-USD,115681.56,3563.465000000011,94897651712,2025-07-25T09:29:46.806689
2025-07-25 09:29:47,ETH-USD,3686.83,121.0300000000002,44439969792,2025-07-25T09:29:47.376470
2025-07-25 09:30:15,AAPL,213.76,2.1599999999999966,45773373,2025-07-25T09:30:08.845414
2025-07-25 09:30:15,NVDA,173.74,2.530000000000001,127727175,2025-07-25T09:30:09.404172
2025-07-25 09:30:15,MSFT,510.88,5.920000000000016,16041656,2025-07-25T09:30:11.411752
2025-07-25 09:30:15,AMZN,232.23,5.430000000000007,42573487,2025-07-25T09:30:12.098650
2025-07-25 09:30:15,META,714.8,9.623900000000049,10868089,2025-07-25T09:30:12.668985
2025-07-25 09:30:15,GOOGL,192.17,6.949999999999989,74506564,2025-07-25T09:30:13.893841
2025-07-25 09:30:15,TSLA,305.3,9.654999999999973,156024571,2025-07-25T09:30:14.386087
2025-07-25 09:30:15,BTC-USD,115774.945,3563.465000000011,94793801728,2025-07-25T09:30:14.883023
2025-07-25 09:30:15,ETH-USD,3696.5027,121.0300000000002,44416708608,2025-07-25T09:30:15.369848
2025-07-28 01:44:53,AAPL,213.88,1.8400000000000034,40268781,2025-07-28T01:44:46.785837
2025-07-28 01:44:53,NVDA,173.5,1.7549999999999955,122316792,2025-07-28T01:44:48.202454
2025-07-28 01:44:53,MSFT,513.71,7.9307999999999765,19125699,2025-07-28T01:44:49.046842
2025-07-28 01:44:53,AMZN,231.44,1.2998999999999796,28712095,2025-07-28T01:44:49.773240
2025-07-28 01:44:53,META,712.68,8.749900000000025,8271698,2025-07-28T01:44:50.508416
2025-07-28 01:44:53,GOOGL,193.18,3.0700000000000216,39785863,2025-07-28T01:44:51.676631
2025-07-28 01:44:53,TSLA,316.06,15.620000000000005,148227027,2025-07-28T01:44:52.455983
2025-07-28 01:44:53,BTC-USD,119142.47,530.3999999999942,54336442368,2025-07-28T01:44:53.176185
2025-07-28 01:44:53,ETH-USD,3849.611,37.17100000000028,27878416384,2025-07-28T01:44:53.902338
2025-07-28 06:43:16,AAPL,213.88,1.8400000000000034,40268781,2025-07-28T06:43:12.801579
2025-07-28 06:43:16,NVDA,173.5,1.7549999999999955,122316792,2025-07-28T06:43:13.289381
2025-07-28 06:43:16,MSFT,513.71,7.9307999999999765,19125699,2025-07-28T06:43:13.772697
2025-07-28 06:43:16,AMZN,231.44,1.2998999999999796,28712095,2025-07-28T06:43:14.278167
2025-07-28 06:43:16,META,712.68,8.749900000000025,8271698,2025-07-28T06:43:14.760287
2025-07-28 06:43:16,GOOGL,193.18,3.0700000000000216,39785863,2025-07-28T06:43:15.250248
2025-07-28 06:43:16,TSLA,316.06,15.620000000000005,148227027,2025-07-28T06:43:15.737563
2025-07-28 06:43:16,BTC-USD,119510.1,753.6900000000023,58205773824,2025-07-28T06:43:16.217545
2025-07-28 06:43:16,ETH-USD,3919.945,92.56939999999986,33153611776,2025-07-28T06:43:16.698159
2025-07-28 06:47:16,AAPL,213.88,1.8400000000000034,40268781,2025-07-28T06:47:09.117395
2025-07-28 06:47:16,NVDA,173.5,1.7549999999999955,122316792,2025-07-28T06:47:09.904069
2025-07-28 06:47:16,MSFT,513.71,7.9307999999999765,19125699,2025-07-28T06:47:11.060180
2025-07-28 06:47:16,AMZN,231.44,1.2998999999999796,28712095,2025-07-28T06:47:11.900167
2025-07-28 06:47:16,META,712.68,8.749900000000025,8271698,2025-07-28T06:47:12.622830
2025-07-28 06:47:16,GOOGL,193.18,3.0700000000000216,39785863,2025-07-28T06:47:14.121608
2025-07-28 06:47:16,TSLA,316.06,15.620000000000005,148227027,2025-07-28T06:47:15.079272
2025-07-28 06:47:16,BTC-USD,119494.63,753.6900000000023,58254983168,2025-07-28T06:47:15.889017
2025-07-28 06:47:16,ETH-USD,3913.9756,92.56939999999986,33374302208,2025-07-28T06:47:16.678316
2025-07-28 06:48:47,AAPL,213.88,1.8400000000000034,40268781,2025-07-28T06:48:41.284457
2025-07-28 06:48:47,NVDA,173.5,1.7549999999999955,122316792,2025-07-28T06:48:41.761377
2025-07-28 06:48:47,MSFT,513.71,7.9307999999999765,19125699,2025-07-28T06:48:42.269037
2025-07-28 06:48:47,AMZN,231.44,1.2998999999999796,28712095,2025-07-28T06:48:42.846927
2025-07-28 06:48:47,META,712.68,8.749900000000025,8271698,2025-07-28T06:48:44.968877
2025-07-28 06:48:47,GOOGL,193.18,3.0700000000000216,39785863,2025-07-28T06:48:46.434212
2025-07-28 06:48:47,TSLA,316.06,15.620000000000005,148227027,2025-07-28T06:48:46.952927
2025-07-28 06:48:47,BTC-USD,119493.07,753.6900000000023,58266243072,2025-07-28T06:48:47.428463
2025-07-28 06:48:47,ETH-USD,3913.9756,92.56939999999986,33374302208,2025-07-28T06:48:47.905381
2025-07-28 06:53:46,AAPL,213.88,1.8400000000000034,40268781,2025-07-28T06:53:37.508549
2025-07-28 06:53:46,NVDA,173.5,1.7549999999999955,122316792,2025-07-28T06:53:38.738935
2025-07-28 06:53:46,MSFT,513.71,7.9307999999999765,19125699,2025-07-28T06:53:39.227624
2025-07-28 06:53:46,AMZN,231.44,1.2998999999999796,28712095,2025-07-28T06:53:40.683276
2025-07-28 06:53:46,META,712.68,8.749900000000025,8271698,2025-07-28T06:53:41.366086
